vertex_id,x,y
3mBScDLYs8d2H8dtpoX272,0.2601936161518097,0.035128019750118256
3NBKir6ybyH4oRyZCStryA,0.3446999192237854,0.06987503916025162
0BcRhqsNA5eHZesEziUR5n,0.23399291932582855,0.05108379200100899
4nMumbauSUmFSXyv5xDLL5,0.36075812578201294,0.07451270520687103
40O91zPahOsHLNkqh5PIL9,0.3164288401603699,0.05830024555325508
3ceTve1amL7RHUCKkRNlof,0.31184372305870056,0.0564531572163105
2AgsnGloKc3LDYwt0qlWa9,0.2861264944076538,0.04489371180534363
1JRvHYgoKLx4MpMHsH526G,0.3336595892906189,0.05431561917066574
1tFOkRhV6QlN4hyfy8OJ8x,0.2633720934391022,0.03643755614757538
6ifxoXGBxLp7O967IDt67l,0.3536199629306793,0.07547001540660858
0R9nmVz6XaLacqaZ7BEHDj,0.3743706941604614,0.07025796175003052
6CjcU4Hbx3iKjiysHGJhQl,0.2410973310470581,0.0467296727001667
1nJYmwlNVlfGFrHeT5tTI8,0.3401343822479248,0.07860514521598816
6VYXDPwjyVqalFLUjrKwDQ,0.2946421205997467,0.049621548503637314
1FBdUVBQsG8suMoKaF3GOi,0.2568719983100891,0.03199480473995209
3vPoUXeqlDaqHUx38pe7tb,-0.1806802600622177,-0.7214897871017456
2AvDzQfRf5Bx8PX0qRWLRc,-0.17622196674346924,-0.6452684998512268
6Prt67giLGsZm60AjT1dlh,-0.1823437511920929,-0.7312727570533752
4KPRqt53xnT2Hs2rDGKiRu,-0.17999480664730072,-0.7103614211082458
2NzQGuWizwdjAo2cXIyFrD,-0.16430166363716125,-0.5199931859970093
4QqwpUpSkt7WsljQxDAKda,-0.17903538048267365,-0.6920597553253174
6J7EO3pba2OeePYfO93edR,-0.18278768658638,-0.5885626673698425
2XxHmtjVyUvq0YngQPrffh,-0.17592671513557434,-0.6392854452133179
0AUsg7yWsJKPfDalSDt80e,-0.18980960547924042,-0.6029516458511353
3ZDtRIqgH7lsn9m3hqKNVC,-0.19160892069339752,-0.611322283744812
6XbDqOFRhuOjKzo4uFbdw2,-0.1727551370859146,-0.704025149345398
0jVoM3xPCje84qve763Zoq,-0.17964257299900055,-0.7034066319465637
669sT858KtABKBGB2LHqRb,-0.1780773103237152,-0.6759382486343384
036ag2d0dtfhgEyPnXQvvM,-0.17907163500785828,-0.692709743976593
5zIsoqu053UuhfjlxSlyMP,-0.17561477422714233,-0.6200650334358215
7E8wuFFy9QRDuGhkzVWGKS,-0.17798751592636108,-0.6744911670684814
1PEbZAKVXlrABYuzZpBypd,-0.18162241578102112,-0.7285677194595337
13TlLMjvV0pZqBF7DKIs94,-0.1818971335887909,-0.5877383351325989
3Vsd0nUz5GfviBGzokdX55,-0.17731069028377533,-0.6636647582054138
3URXOzRa5EbLWiiriDDDI3,-0.17902137339115143,-0.6918134093284607
5GG3mhtjCZMukd6nrxHVjJ,-0.17824383080005646,-0.6786432266235352
0xugMDis3UGK42KVbj7zPy,-0.1774045079946518,-0.6651659607887268
4tZVecOHfomT1ffDPYN7bP,-0.17245393991470337,-0.6987108588218689
2P0xfFLKKis0QdJV6CUoRN,-0.17820604145526886,-0.6780247688293457
59AyrtBjSHqBF04IonFZFU,-0.16650673747062683,-0.7122589349746704
5qGa6klw09gmP6cdKnK65C,-0.16779862344264984,-0.620787501335144
